host mmap_min_addr=0x10000
Reserved 0x2c5000 bytes of guest address space
Relocating guest address space from 0x0000000000400000 to 0x400000
guest_base  0x0
start            end              size             prot
0000000000400000-00000000004c0000 00000000000c0000 r-x
00000000006bf000-00000000006c5000 0000000000006000 rw-
0000004000000000-0000004000001000 0000000000001000 ---
0000004000001000-0000004000801000 0000000000800000 rw-
start_brk   0x0000000000000000
end_code    0x00000000004bf629
start_code  0x0000000000400000
start_data  0x00000000006bfea0
end_data    0x00000000006c1c30
start_stack 0x00000040007ffe00
brk         0x00000000006c41c8
entry       0x0000000000400f4e
Trace 0x560def94e640 [0000000000400f4e] 
Trace 0x560def94e700 [0000000000401490] 
Trace 0x560def94e810 [0000000000401779] 
Trace 0x560def94e860 [00000000004014d1] 
Trace 0x560def94e960 [0000000000401500] 
Trace 0x560def94e960 [0000000000401500] 
Trace 0x560def94ea10 [000000000040150b] 
Trace 0x560def94ea60 [0000000000437b20] 
Trace 0x560def94eaf0 [0000000000437b33] 
Trace 0x560def94eca0 [0000000000437ba2] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94ed80 [0000000000437b98] 
Trace 0x560def94eca0 [0000000000437ba2] 
Trace 0x560def94ee20 [0000000000437cf0] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94ee80 [0000000000437cc0] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94eed0 [0000000000437cd0] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94ef20 [0000000000437ce0] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94efa0 [0000000000437c50] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94f020 [0000000000437ca0] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94f0a0 [0000000000437c80] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94f120 [0000000000437c90] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94f190 [0000000000437c60] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94ece0 [0000000000437bb8] 
Trace 0x560def94f1e0 [0000000000437c70] 
Trace 0x560def94ece0 [0000000000437bb8] 
